Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Beatrice Police Dept,NE,12,12092,91,0,,32,6,53
Bellevue City Police Dept,NE,12,54251,52,1,,17,15,19
Columbus Police Dept,NE,12,22614,21,1,,7,5,8
Douglas County Sheriff Office,NE,12,,133,2,7,,9,115
Fremont Police Dept,NE,12,26322,58,0,,22,1,35
Grand Island Police Dept,NE,12,50999,131,0,34,,8,89
Hastings Police Dept,NE,12,25070,73,1,,25,6,41
Kearney Police Dept,NE,12,32513,84,0,,18,6,60
Lavista Police Dept,NE,12,17955,17,0,,5,3,9
Lancaster County Sheriff Department,NE,12,,23,0,6,,3,14
Lexington Police Dept,NE,12,10195,15,1,,4,1,9
Lincoln Police Dept,NE,12,271208,918,7,152,,205,554
Norfolk City Police Dept,NE,12,24588,42,0,,18,4,20
North Platte Police Dept,NE,12,24490,81,0,,8,5,68
Omaha Police Dept,NE,12,438465,2458,32,180,,723,1523
Papillion Police Dept,NE,12,22606,19,0,,6,2,11
Sarpy County Sheriff Department,NE,12,,32,0,,12,1,19
Scotts Bluff Police Dept,NE,12,15009,47,0,,8,6,33
South Sioux Police Dept,NE,12,13436,21,0,2,,3,16
