FY,COUNTY,CODISTSCH,SCHOOLNAME,SCHOOLTYPE,GRADE,ENROLLED,FREEREDUCED,PERCENT,WARNING,CEP_Indicator
2016-2017,ADAMS,10003001,KENESAW SECONDARY SCHOOL,SECONDARY                     ,2017-07-12,124,32,0.2581,,
2016-2017,ADAMS,10003002,KENESAW ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,156,48,0.3077,,
2016-2017,ADAMS,10018001,HASTINGS SENIOR HIGH SCHOOL,HIGH SCHOOL                   ,2017-09-12,1062,574,0.5405,,
2016-2017,ADAMS,10018002,HASTINGS MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2017-06-08,793,478,0.6028,,
2016-2017,ADAMS,10018003,ALCOTT ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,323,243,0.7523,,
2016-2017,ADAMS,10018004,HAWTHORNE ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,373,176,0.4718,,
2016-2017,ADAMS,10018005,LINCOLN ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,318,292,0.9182,,
2016-2017,ADAMS,10018006,LONGFELLOW ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,414,232,0.5604,,
2016-2017,ADAMS,10018008,RAYMOND A WATSON ELEM SCHOOL,ELEMENTARY                    ,PK-05,424,237,0.559,,
2016-2017,ADAMS,10090001,ADAMS CENTRAL JR-SR HIGH SCH,SECONDARY                     ,2017-07-12,468,88,0.188,,
2016-2017,ADAMS,10090002,JUNIATA ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,175,50,0.2857,,
2016-2017,ADAMS,10090003,EAST ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,136,18,0.1324,,
2016-2017,ADAMS,10090006,WALLACE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,134,24,0.1791,,
2016-2017,ADAMS,10123001,SILVER LAKE HIGH SCHOOL,SECONDARY                     ,2017-07-12,85,41,0.4824,,
2016-2017,ADAMS,10123002,SILVER LAKE ELEM SCH-BLADEN,ELEMENTARY                    ,PK-06,159,59,0.3711,,
2016-2017,ADAMS,10701001,CHRIST LUTHERAN ELEMENTARY SCH,ELEMENTARY                    ,K -08,56,,,MASKED DATA,
2016-2017,ADAMS,10702001,ST CECILIA HIGH SCHOOL,HIGH SCHOOL                   ,2017-09-12,137,31,0.2263,,
2016-2017,ADAMS,10702002,ST CECILIA MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2017-06-08,111,27,0.2432,,
2016-2017,ADAMS,10702003,ST MICHAEL ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,219,45,0.2055,,
2016-2017,ADAMS,10705001,ZION LUTHERAN ELEMENTARY SCH,ELEMENTARY                    ,PK-08,78,23,0.2949,,
2016-2017,ANTELOPE,20009001,NELIGH-OAKDALE HIGH SCHOOL,SECONDARY                     ,2017-07-12,172,75,0.436,,
2016-2017,ANTELOPE,20009004,WESTWARD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-02,128,46,0.3594,,
2016-2017,ANTELOPE,20009005,EASTWARD ELEMENTARY SCHOOL,ELEMENTARY                    ,2017-03-06,103,49,0.4757,,
2016-2017,ANTELOPE,20018001,ELGIN HIGH SCHOOL,SECONDARY                     ,2017-07-12,59,36,0.6102,,
2016-2017,ANTELOPE,20018002,ELGIN ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,111,54,0.4865,,
2016-2017,ANTELOPE,20701001,ST BONIFACE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,69,23,0.3333,,
2016-2017,ANTELOPE,20702001,POPE JOHN XXIII HIGH SCHOOL,SECONDARY                     ,2017-07-12,59,14,0.2373,,
2016-2017,ANTELOPE,22001002,CLEARWATER ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,70,20,0.2857,,
2016-2017,ANTELOPE,22001004,ORCHARD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,64,37,0.5781,,
