MSA_code,MSA_name,fips
10180,"Abilene, TX (Metropolitan Statistical Area)",48059
10180,"Abilene, TX (Metropolitan Statistical Area)",48253
10180,"Abilene, TX (Metropolitan Statistical Area)",48441
10420,"Akron, OH (Metropolitan Statistical Area)",39133
10420,"Akron, OH (Metropolitan Statistical Area)",39153
10500,"Albany, GA (Metropolitan Statistical Area)",13007
10500,"Albany, GA (Metropolitan Statistical Area)",13095
10500,"Albany, GA (Metropolitan Statistical Area)",13177
10500,"Albany, GA (Metropolitan Statistical Area)",13273
10500,"Albany, GA (Metropolitan Statistical Area)",13321
10540,"Albany, OR (Metropolitan Statistical Area)",41043
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36001
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36083
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36091
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36093
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36095
10740,"Albuquerque, NM (Metropolitan Statistical Area)",35001
10740,"Albuquerque, NM (Metropolitan Statistical Area)",35043
10740,"Albuquerque, NM (Metropolitan Statistical Area)",35057
10740,"Albuquerque, NM (Metropolitan Statistical Area)",35061
10780,"Alexandria, LA (Metropolitan Statistical Area)",22043
10780,"Alexandria, LA (Metropolitan Statistical Area)",22079
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",34041
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",42025
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",42077
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",42095
11020,"Altoona, PA (Metropolitan Statistical Area)",42013
11100,"Amarillo, TX (Metropolitan Statistical Area)",48011
11100,"Amarillo, TX (Metropolitan Statistical Area)",48065
11100,"Amarillo, TX (Metropolitan Statistical Area)",48359
11100,"Amarillo, TX (Metropolitan Statistical Area)",48375
11100,"Amarillo, TX (Metropolitan Statistical Area)",48381
11180,"Ames, IA (Metropolitan Statistical Area)",19169
11260,"Anchorage, AK (Metropolitan Statistical Area)",02020
11260,"Anchorage, AK (Metropolitan Statistical Area)",02170
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",26161
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",01015
11540,"Appleton, WI (Metropolitan Statistical Area)",55015
11540,"Appleton, WI (Metropolitan Statistical Area)",55087
11700,"Asheville, NC (Metropolitan Statistical Area)",37021
11700,"Asheville, NC (Metropolitan Statistical Area)",37087
11700,"Asheville, NC (Metropolitan Statistical Area)",37089
11700,"Asheville, NC (Metropolitan Statistical Area)",37115
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",13059
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",13195
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",13219
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",13221
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13013
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13015
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13035
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13045
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13057
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13063
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13067
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13077
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13085
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13089
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13097
