STATION,NAME,DATE,TMAX
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-01,41
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-02,38
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-03,30
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-04,14
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-05,12
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-06,14
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-07,20
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-08,34
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-09,35
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-10,37
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-11,34
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-12,23
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-13,25
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-14,39
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-15,32
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-16,33
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-17,38
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-18,51
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-19,44
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-20,46
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-21,53
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-22,41
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-23,40
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-24,36
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-25,33
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-26,32
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-27,40
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-28,42
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-29,48
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-30,61
USW00014939,"LINCOLN AIRPORT, NE US",2017-01-31,46
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-01,34
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-02,28
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-03,33
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-04,53
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-05,41
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-06,49
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-07,43
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-08,22
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-09,37
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-10,71
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-11,61
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-12,51
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-13,53
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-14,54
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-15,56
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-16,72
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-17,74
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-18,68
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-19,73
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-20,67
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-21,76
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-22,76
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-23,47
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-24,33
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-25,36
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-26,47
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-27,58
USW00014939,"LINCOLN AIRPORT, NE US",2017-02-28,48
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-01,47
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-02,48
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-03,57
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-04,74
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-05,71
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-06,79
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-07,57
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-08,61
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-09,54
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-10,29
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-11,34
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-12,43
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-13,33
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-14,30
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-15,46
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-16,70
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-17,70
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-18,62
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-19,87
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-20,70
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-21,50
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-22,54
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-23,77
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-24,69
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-25,43
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-26,49
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-27,57
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-28,52
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-29,46
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-30,45
USW00014939,"LINCOLN AIRPORT, NE US",2017-03-31,55
USW00014939,"LINCOLN AIRPORT, NE US",2017-04-01,48
USW00014939,"LINCOLN AIRPORT, NE US",2017-04-02,54
USW00014939,"LINCOLN AIRPORT, NE US",2017-04-03,67
USW00014939,"LINCOLN AIRPORT, NE US",2017-04-04,60
USW00014939,"LINCOLN AIRPORT, NE US",2017-04-05,63
USW00014939,"LINCOLN AIRPORT, NE US",2017-04-06,60
USW00014939,"LINCOLN AIRPORT, NE US",2017-04-07,68
USW00014939,"LINCOLN AIRPORT, NE US",2017-04-08,79
USW00014939,"LINCOLN AIRPORT, NE US",2017-04-09,81
USW00014939,"LINCOLN AIRPORT, NE US",2017-04-10,56
USW00014939,"LINCOLN AIRPORT, NE US",2017-04-11,67
