"STATION","NAME","DATE","TMAX"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-01","37"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-02","39"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-03","33"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-04","28"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-05","41"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-06","35"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-07","35"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-08","34"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-09","25"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-10","20"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-11","36"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-12","36"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-13","47"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-14","53"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-15","38"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-16","34"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-17","11"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-18","22"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-19","24"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-20","30"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-21","30"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-22","27"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-23","30"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-24","40"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-25","32"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-26","35"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-27","41"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-28","45"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-29","51"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-30","53"
"USW00014939","LINCOLN AIRPORT, NE US","2016-01-31","51"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-01","42"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-02","36"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-03","27"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-04","31"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-05","35"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-06","39"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-07","44"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-08","35"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-09","30"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-10","42"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-11","30"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-12","29"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-13","21"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-14","42"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-15","47"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-16","43"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-17","56"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-18","70"
"USW00014939","LINCOLN AIRPORT, NE US","2016-02-19","68"
